Name,Value,Timestamp,Step
"train__roc_auc",0.8606241327783114,1649184298189,1
"train__average_precision",0.44835727930757513,1649184298189,1
"train__accuracy",0.8947733333333333,1649184298189,1
"train__precision",0.5545545545545546,1649184298189,1
"train__recall",0.26609029779058596,1649184298189,1
"train__f1",0.35962349886400513,1649184298189,1
"test__roc_auc",0.8482113866049218,1649184299700,1
"test__average_precision",0.41473632108241115,1649184299700,1
"test__accuracy",0.88968,1649184299700,1
"test__precision",0.5067264573991032,1649184299700,1
"test__recall",0.2442363112391931,1649184299700,1
"test__f1",0.329606222654351,1649184299700,1
